Bank,Category,Metric,Unit,Year,Value
City Bank,CAPITAL & EFFICIENCY,Cost-to-Income Ratio %,%,2015,47.6
City Bank,DERIVED METRICS (formulas),NPL / Total Assets %,%,2025,1.5022393077059
City Bank,DERIVED METRICS (formulas),NPL / Total Assets %,%,2024,2.37357140196716
City Bank,DERIVED METRICS (formulas),NPL / Total Assets %,%,2023,2.58844995303542
City Bank,DERIVED METRICS (formulas),NPL / Total Assets %,%,2022,2.69726367128542
City Bank,DERIVED METRICS (formulas),NPL / Total Assets %,%,2021,3.33555607792719
City Bank,DERIVED METRICS (formulas),NPL / Total Assets %,%,2020,2.83344562657015
City Bank,DERIVED METRICS (formulas),NPL / Total Assets %,%,2019,4.01591253182365
City Bank,DERIVED METRICS (formulas),NPL / Total Assets %,%,2018,3.79518443253895
City Bank,DERIVED METRICS (formulas),NPL / Total Assets %,%,2017,3.875425995623
City Bank,DERIVED METRICS (formulas),NPL / Total Assets %,%,2016,4.15345244450027
City Bank,DERIVED METRICS (formulas),NPL / Total Assets %,%,2015,5.15885663183031
City Bank,DERIVED METRICS (formulas),YoY NPAT growth %,%,2025,0.203483549903235
City Bank,DERIVED METRICS (formulas),YoY NPAT growth %,%,2024,0.764103397821492
City Bank,DERIVED METRICS (formulas),YoY NPAT growth %,%,2023,0.364463176574978
City Bank,DERIVED METRICS (formulas),YoY NPAT growth %,%,2022,-0.0495467004005904
City Bank,DERIVED METRICS (formulas),YoY NPAT growth %,%,2021,0.182203389830508
City Bank,DERIVED METRICS (formulas),YoY NPAT growth %,%,2020,0.622977346278317
City Bank,DERIVED METRICS (formulas),YoY NPAT growth %,%,2019,0.224975222993062
City Bank,DERIVED METRICS (formulas),YoY NPAT growth %,%,2018,-0.443770672546858
City Bank,DERIVED METRICS (formulas),YoY NPAT growth %,%,2017,-0.082912032355915
City Bank,DERIVED METRICS (formulas),YoY NPAT growth %,%,2016,0.0988888888888888
City Bank,DERIVED METRICS (formulas),YoY NPAT growth %,%,2015,
City Bank,DERIVED METRICS (formulas),YoY Total Assets growth %,%,2025,0.208117617059803
City Bank,DERIVED METRICS (formulas),YoY Total Assets growth %,%,2024,0.256099097056527
City Bank,DERIVED METRICS (formulas),YoY Total Assets growth %,%,2023,0.0964610622140409
City Bank,DERIVED METRICS (formulas),YoY Total Assets growth %,%,2022,0.215746146576414
City Bank,DERIVED METRICS (formulas),YoY Total Assets growth %,%,2021,0.0887273259063108
City Bank,DERIVED METRICS (formulas),YoY Total Assets growth %,%,2020,0.0796105884309917
City Bank,DERIVED METRICS (formulas),YoY Total Assets growth %,%,2019,0.0920900301742718
City Bank,DERIVED METRICS (formulas),YoY Total Assets growth %,%,2018,0.178742137908257
City Bank,DERIVED METRICS (formulas),YoY Total Assets growth %,%,2017,0.081463717147612
City Bank,DERIVED METRICS (formulas),YoY Total Assets growth %,%,2016,0.211943621236699
City Bank,DERIVED METRICS (formulas),YoY Total Assets growth %,%,2015,
IFIC Bank,BALANCE SHEET,Total Assets,Tk mn,2025,586402.1
IFIC Bank,BALANCE SHEET,Total Assets,Tk mn,2024,565693.6
IFIC Bank,BALANCE SHEET,Total Assets,Tk mn,2023,529936.5
IFIC Bank,BALANCE SHEET,Total Assets,Tk mn,2022,470548.02
IFIC Bank,BALANCE SHEET,Total Assets,Tk mn,2021,410402.92
IFIC Bank,BALANCE SHEET,Total Assets,Tk mn,2020,363412
IFIC Bank,BALANCE SHEET,Total Assets,Tk mn,2019,316950
IFIC Bank,BALANCE SHEET,Total Assets,Tk mn,2018,283073
IFIC Bank,BALANCE SHEET,Total Assets,Tk mn,2017,253249
IFIC Bank,BALANCE SHEET,Total Assets,Tk mn,2016,200251.06
IFIC Bank,BALANCE SHEET,Total Assets,Tk mn,2015,180737.39
IFIC Bank,BALANCE SHEET,Loans & Advances,Tk mn,2025,443295
IFIC Bank,BALANCE SHEET,Loans & Advances,Tk mn,2024,447266.1
IFIC Bank,BALANCE SHEET,Loans & Advances,Tk mn,2023,414982.8
IFIC Bank,BALANCE SHEET,Loans & Advances,Tk mn,2022,355858.87
IFIC Bank,BALANCE SHEET,Loans & Advances,Tk mn,2021,306333.35
IFIC Bank,BALANCE SHEET,Loans & Advances,Tk mn,2020,260650
IFIC Bank,BALANCE SHEET,Loans & Advances,Tk mn,2019,228589
IFIC Bank,BALANCE SHEET,Loans & Advances,Tk mn,2018,206930
IFIC Bank,BALANCE SHEET,Loans & Advances,Tk mn,2017,179264
IFIC Bank,BALANCE SHEET,Loans & Advances,Tk mn,2016,141258.76
IFIC Bank,BALANCE SHEET,Loans & Advances,Tk mn,2015,125668.04
IFIC Bank,BALANCE SHEET,Total Deposits,Tk mn,2025,517162
IFIC Bank,BALANCE SHEET,Total Deposits,Tk mn,2024,474592
IFIC Bank,BALANCE SHEET,Total Deposits,Tk mn,2023,442071.4
IFIC Bank,BALANCE SHEET,Total Deposits,Tk mn,2022,375552.71
IFIC Bank,BALANCE SHEET,Total Deposits,Tk mn,2021,332751.26
IFIC Bank,BALANCE SHEET,Total Deposits,Tk mn,2020,296374
